Frequency,MTF,NPS,NPSFit,DQE
0,0.96299,2,1,0.813323
0.004854,0.961644,0.086634,0.101665,0.813323
0.005394,0.961337,0.160986,0.103963,0.794837
0.005933,0.961001,0.141705,0.112169,0.736175
0.006472,0.960637,0.106936,0.122324,0.67455
0.007012,0.960247,0.176217,0.130751,0.630562
0.007551,0.959831,0.134644,0.136368,0.604067
0.008091,0.959391,0.103513,0.13949,0.590002
0.00863,0.958928,0.136888,0.14045,0.585406
0.009169,0.958443,0.137864,0.139577,0.588473
0.009709,0.957938,0.121347,0.137201,0.598033
0.010248,0.957415,0.121118,0.133653,0.613238
0.010787,0.956874,0.077732,0.129263,0.633346
0.011327,0.956317,0.120057,0.124362,0.657541
0.011866,0.955746,0.11834,0.11928,0.684737
0.012406,0.955162,0.103484,0.114347,0.713402
0.012945,0.954566,0.10666,0.109894,0.741384
0.013484,0.953961,0.108419,0.106245,0.76588
0.014024,0.953348,0.106539,0.103526,0.784982
0.014563,0.952728,0.107657,0.101648,0.79845
0.015102,0.952102,0.098642,0.100507,0.80645
0.015642,0.951473,0.102074,0.100002,0.80945
0.016181,0.950841,0.098624,0.100031,0.808142
0.016721,0.950208,0.106412,0.100491,0.803369
0.01726,0.949576,0.149136,0.101281,0.796046
0.017799,0.948944,0.105832,0.102297,0.787088
0.018339,0.948316,0.111673,0.103439,0.777373
0.018878,0.947691,0.094044,0.104603,0.76771
0.019417,0.947072,0.099362,0.105687,0.758841
0.019957,0.946458,0.109864,0.10659,0.75144
0.020496,0.945852,0.099065,0.107243,0.745906
0.021036,0.945254,0.088584,0.107663,0.742057
0.021575,0.944664,0.099856,0.107879,0.739651
0.022114,0.944085,0.107186,0.107919,0.73847
0.022654,0.943516,0.082171,0.107812,0.738312
0.023193,0.942958,0.118815,0.107587,0.73898
0.023732,0.942412,0.140637,0.107273,0.740286
0.024272,0.941879,0.117112,0.106898,0.742038
0.024811,0.941358,0.079438,0.106492,0.744044
0.025351,0.94085,0.11215,0.106083,0.746106
0.02589,0.940356,0.112632,0.105701,0.748021
0.026429,0.939876,0.109235,0.105373,0.749583
0.026969,0.93941,0.109695,0.105125,0.750608
0.027508,0.938958,0.089431,0.104955,0.751094
0.028047,0.938521,0.10733,0.104855,0.751111
0.028587,0.938098,0.090421,0.104814,0.750731
0.029126,0.93769,0.105431,0.104821,0.750027
0.029666,0.937296,0.124417,0.104866,0.749074
0.030205,0.936916,0.093209,0.104939,0.747945
0.030744,0.936551,0.108132,0.10503,0.746715
0.031284,0.9362,0.104596,0.105129,0.745456
0.031823,0.935863,0.105027,0.105224,0.744242
0.032362,0.935539,0.102292,0.105307,0.743144
0.032902,0.935229,0.107184,0.105366,0.742233
0.033441,0.934932,0.117708,0.105393,0.741577
0.033981,0.934648,0.109437,0.105384,0.74119
0.03452,0.934376,0.112798,0.105345,0.741031
0.035059,0.934117,0.107756,0.105283,0.741059
0.035599,0.933869,0.094993,0.105202,0.741231
0.036138,0.933633,0.102874,0.10511,0.741506
0.036677,0.933407,0.101049,0.105012,0.741842
0.037217,0.933193,0.095538,0.104913,0.742196
0.037756,0.932988,0.105751,0.104821,0.742526
0.038296,0.932794,0.098194,0.10474,0.742788
0.038835,0.932609,0.105521,0.104677,0.742942
0.039374,0.932433,0.110822,0.104637,0.742942
0.039914,0.932265,0.101557,0.104627,0.742747
0.040453,0.932106,0.094527,0.104648,0.742343
0.040992,0.931954,0.110056,0.104692,0.741795
0.041532,0.93181,0.104467,0.104745,0.741186
0.042071,0.931672,0.100105,0.104798,0.740594
0.042611,0.931542,0.115516,0.104839,0.7401
0.04315,0.931417,0.11718,0.104856,0.739782
0.043689,0.931299,0.107493,0.104838,0.739722
0.044229,0.931186,0.101154,0.104773,0.739997
0.044768,0.931078,0.102028,0.104651,0.74069
0.045307,0.930975,0.109636,0.104459,0.741884
0.045847,0.930876,0.106484,0.104187,0.743663
0.046386,0.930782,0.104372,0.103823,0.74612
0.046926,0.930692,0.098205,0.103358,0.749333
0.047465,0.930605,0.100897,0.102806,0.753216
0.048004,0.930522,0.098309,0.102196,0.757574
0.048544,0.930442,0.105667,0.101558,0.762203
0.049083,0.930365,0.094086,0.100921,0.766889
0.049622,0.93029,0.097266,0.100314,0.771409
0.050162,0.930218,0.100696,0.099765,0.775527
0.050701,0.930149,0.095268,0.099306,0.778999
0.051241,0.930081,0.104476,0.098964,0.781577
0.05178,0.930015,0.092003,0.098769,0.783008
0.052319,0.929951,0.106185,0.09875,0.783049
0.052859,0.929888,0.099065,0.098937,0.781465
0.053398,0.929827,0.096511,0.099358,0.778049
0.053937,0.929766,0.100228,0.100023,0.772781
0.054477,0.929707,0.098761,0.100891,0.766031
0.055016,0.92965,0.114745,0.101919,0.758211
0.055556,0.929592,0.109221,0.103061,0.749719
0.056095,0.929536,0.103153,0.104271,0.740925
0.056634,0.92948,0.105315,0.105505,0.73217
0.057174,0.929425,0.100759,0.106718,0.723765
0.057713,0.92937,0.107961,0.107864,0.715993
0.058252,0.929316,0.11254,0.108898,0.709113
0.058792,0.929262,0.10298,0.109774,0.703368
0.059331,0.929208,0.10506,0.110449,0.698993
0.059871,0.929155,0.107976,0.110875,0.696222
0.06041,0.929102,0.103662,0.111013,0.695279
0.060949,0.929048,0.10368,0.110866,0.696124
0.061489,0.928995,0.104633,0.110469,0.698545
0.062028,0.928942,0.117153,0.109859,0.702344
0.062567,0.928889,0.13822,0.109072,0.707329
0.063107,0.928835,0.107147,0.108144,0.713313
0.063646,0.928782,0.113346,0.107113,0.720099
0.064186,0.928728,0.106314,0.106014,0.727482
0.064725,0.928675,0.094502,0.104883,0.73524
0.065264,0.928621,0.105764,0.103757,0.743132
0.065804,0.928567,0.100534,0.102672,0.750896
0.066343,0.928512,0.094902,0.101665,0.758246
0.066882,0.928458,0.107206,0.100772,0.764879
0.067422,0.928403,0.098532,0.10002,0.770533
0.067961,0.928348,0.092802,0.099408,0.775186
0.068501,0.928293,0.103459,0.098925,0.778879
0.06904,0.928237,0.089378,0.098561,0.781665
0.069579,0.928181,0.108652,0.098305,0.783607
0.070119,0.928125,0.096608,0.098147,0.784774
0.070658,0.928068,0.094391,0.098076,0.785242
0.071197,0.928011,0.096685,0.098083,0.785089
0.071737,0.927954,0.093026,0.098157,0.784399
0.072276,0.927896,0.096733,0.098288,0.783256
0.072816,0.927839,0.10914,0.098466,0.781747
0.073355,0.92778,0.106222,0.098679,0.779957
0.073894,0.927722,0.10183,0.098919,0.77797
0.074434,0.927663,0.094523,0.099176,0.775851
0.074973,0.927603,0.100383,0.099448,0.773636
0.075512,0.927544,0.093607,0.099729,0.771357
0.076052,0.927484,0.102663,0.100016,0.769044
0.076591,0.927423,0.101825,0.100305,0.766726
0.077131,0.927363,0.102623,0.100593,0.764435
0.07767,0.927301,0.093024,0.100874,0.762197
0.078209,0.92724,0.10507,0.101147,0.760042
0.078749,0.927178,0.089836,0.101406,0.757997
0.079288,0.927116,0.101488,0.101649,0.756089
0.079827,0.927053,0.100091,0.10187,0.754344
0.080367,0.92699,0.106949,0.102067,0.752789
0.080906,0.926927,0.112312,0.102235,0.751449
0.081446,0.926863,0.106437,0.102372,0.750339
0.081985,0.926799,0.089414,0.102477,0.749463
0.082524,0.926735,0.105857,0.102551,0.748823
0.083064,0.92667,0.106942,0.102591,0.748424
0.083603,0.926605,0.107912,0.102598,0.748272
0.084142,0.926539,0.100561,0.10257,0.74837
0.084682,0.926474,0.106468,0.102506,0.748725
0.085221,0.926407,0.093064,0.102407,0.749342
0.085761,0.926341,0.102608,0.102272,0.750228
0.0863,0.926274,0.096376,0.102099,0.751391
0.086839,0.926206,0.101873,0.101887,0.752838
0.087379,0.926139,0.103985,0.101638,0.754579
0.087918,0.92607,0.098929,0.101349,0.756619
0.088457,0.926002,0.104364,0.101026,0.758922
0.088997,0.925933,0.100958,0.10068,0.761419
0.089536,0.925864,0.104606,0.10032,0.764038
0.090076,0.925795,0.097207,0.099956,0.766706
0.090615,0.925725,0.101517,0.099597,0.769347
0.091154,0.925654,0.097238,0.099255,0.771885
0.091694,0.925584,0.097628,0.098938,0.774239
0.092233,0.925513,0.099492,0.098657,0.776328
0.092772,0.925441,0.099079,0.098421,0.77807
0.093312,0.92537,0.096382,0.09824,0.77938
0.093851,0.925297,0.098649,0.098124,0.780177
0.094391,0.925225,0.097672,0.098084,0.780379
0.09493,0.925152,0.103056,0.098127,0.779912
0.095469,0.925079,0.099055,0.09825,0.778812
0.096009,0.925005,0.097379,0.09844,0.777187
0.096548,0.924931,0.100392,0.098682,0.775151
0.097087,0.924857,0.095903,0.098965,0.772814
0.097627,0.924783,0.101202,0.099274,0.770286
0.098166,0.924708,0.101275,0.099595,0.767675
0.098706,0.924632,0.099487,0.099916,0.765085
0.099245,0.924557,0.093841,0.100223,0.762619
0.099784,0.924481,0.100842,0.100502,0.760377
0.100324,0.924404,0.099363,0.10074,0.758455
0.100863,0.924327,0.099447,0.100923,0.75695
0.101402,0.92425,0.093863,0.101039,0.755959
0.101942,0.924173,0.101369,0.101073,0.755573
0.102481,0.924095,0.104849,0.101027,0.755794
0.10302,0.924017,0.106624,0.10091,0.75654
0.10356,0.923938,0.104811,0.100735,0.757726
0.104099,0.923859,0.10044,0.100513,0.759268
0.104639,0.92378,0.098466,0.100256,0.761082
0.105178,0.9237,0.09847,0.099976,0.763084
0.105717,0.92362,0.1023,0.099684,0.765185
0.106257,0.92354,0.100577,0.099393,0.767299
0.106796,0.923459,0.100886,0.099112,0.769333
0.107335,0.923378,0.097063,0.098856,0.771197
0.107875,0.923297,0.100347,0.098634,0.772795
0.108414,0.923215,0.098627,0.098459,0.774032
0.108954,0.923133,0.094671,0.098342,0.774814
0.109493,0.923051,0.096625,0.098288,0.775098
0.110032,0.922968,0.095239,0.098291,0.774934
0.110572,0.922885,0.103287,0.098344,0.774381
0.111111,0.922801,0.09662,0.098438,0.773499
0.11165,0.922717,0.09897,0.098567,0.77235
0.11219,0.922633,0.090257,0.098722,0.770993
0.112729,0.922549,0.104476,0.098897,0.76949
0.113269,0.922464,0.101328,0.099083,0.7679
0.113808,0.922378,0.096196,0.099274,0.766282
0.114347,0.922293,0.096122,0.099462,0.764695
0.114887,0.922207,0.107109,0.099639,0.763195
0.115426,0.92212,0.106787,0.099797,0.761838
0.115965,0.922034,0.09942,0.09993,0.760682
0.116505,0.921947,0.100146,0.100032,0.759767
0.117044,0.921859,0.092324,0.100103,0.75908
0.117584,0.921771,0.095961,0.100149,0.75859
0.118123,0.921683,0.104327,0.100173,0.758266
0.118662,0.921595,0.101173,0.100178,0.758077
0.119202,0.921506,0.099666,0.10017,0.757993
0.119741,0.921417,0.100529,0.100152,0.757985
0.12028,0.921327,0.101102,0.100128,0.758021
0.12082,0.921238,0.09684,0.100101,0.758073
0.121359,0.921148,0.10538,0.100077,0.75811
0.121899,0.921057,0.100811,0.100058,0.758102
0.122438,0.920966,0.096943,0.100049,0.758019
0.122977,0.920875,0.098017,0.100054,0.757831
0.123517,0.920783,0.10046,0.100077,0.757508
0.124056,0.920691,0.099715,0.100118,0.757051
0.124595,0.920599,0.094726,0.100172,0.756488
0.125135,0.920506,0.09952,0.100236,0.755852
0.125674,0.920413,0.099248,0.100306,0.755174
0.126214,0.92032,0.108405,0.100377,0.754485
0.126753,0.920226,0.103975,0.100445,0.753817
0.127292,0.920133,0.098578,0.100507,0.753201
0.127832,0.920038,0.100778,0.100558,0.752667
0.128371,0.919943,0.100865,0.100593,0.752246
0.12891,0.919848,0.099369,0.10061,0.751969
0.12945,0.919753,0.106832,0.100602,0.751867
0.129989,0.919657,0.099099,0.100568,0.75197
0.130529,0.919561,0.102043,0.100501,0.75231
0.131068,0.919465,0.098881,0.1004,0.752912
0.131607,0.919368,0.101502,0.100267,0.753754
0.132147,0.919271,0.096396,0.100107,0.754795
0.132686,0.919173,0.091609,0.099927,0.755993
0.133225,0.919075,0.09923,0.099733,0.757307
0.133765,0.918977,0.099346,0.099529,0.758695
0.134304,0.918879,0.093969,0.099322,0.760113
0.134844,0.91878,0.101924,0.099117,0.761518
0.135383,0.918681,0.097954,0.098921,0.762866
0.135922,0.918581,0.101667,0.098738,0.764112
0.136462,0.918481,0.101135,0.098575,0.765211
0.137001,0.918381,0.107713,0.098437,0.766116
0.13754,0.91828,0.101815,0.09833,0.766781
0.13808,0.918179,0.097929,0.09826,0.767162
0.138619,0.918078,0.097182,0.09823,0.767226
0.139159,0.917977,0.09766,0.098237,0.766996
0.139698,0.917875,0.09773,0.098278,0.766508
0.140237,0.917772,0.09995,0.098348,0.765796
0.140777,0.91767,0.101264,0.098441,0.764896
0.141316,0.917567,0.098336,0.098555,0.763843
0.141855,0.917464,0.095283,0.098684,0.762673
0.142395,0.91736,0.096262,0.098824,0.761421
0.142934,0.917256,0.09819,0.09897,0.760122
0.143474,0.917152,0.096269,0.099119,0.75881
0.144013,0.917047,0.092008,0.099265,0.757518
0.144552,0.916942,0.093945,0.099405,0.756281
0.145092,0.916836,0.096639,0.099533,0.755132
0.145631,0.916731,0.097632,0.099646,0.754103
0.14617,0.916625,0.10643,0.09974,0.753216
0.14671,0.916518,0.098745,0.099817,0.752463
0.147249,0.916412,0.101144,0.099878,0.751827
0.147789,0.916305,0.100653,0.099926,0.751294
0.148328,0.916197,0.09531,0.099961,0.75085
0.148867,0.916089,0.107577,0.099987,0.750479
0.149407,0.915981,0.108439,0.100005,0.750168
0.149946,0.915873,0.109297,0.100017,0.749902
0.150485,0.915764,0.101389,0.100024,0.749667
0.151025,0.915655,0.101283,0.10003,0.749448
0.151564,0.915546,0.099081,0.100035,0.749231
0.152104,0.915436,0.101398,0.100041,0.749002
0.152643,0.915326,0.099457,0.100051,0.748747
0.153182,0.915215,0.097186,0.100067,0.748451
0.153722,0.915105,0.091524,0.100089,0.748103
0.154261,0.914993,0.09984,0.100118,0.747706
0.1548,0.914882,0.096041,0.100153,0.747264
0.15534,0.91477,0.102756,0.100193,0.746785
0.155879,0.914658,0.098113,0.100237,0.746272
0.156419,0.914545,0.100193,0.100285,0.745732
0.156958,0.914433,0.098209,0.100336,0.745171
0.157497,0.91432,0.101675,0.100389,0.744593
0.158037,0.914206,0.093316,0.100443,0.744004
0.158576,0.914092,0.103357,0.100498,0.743409
0.159115,0.913978,0.100149,0.100554,0.742815
0.159655,0.913864,0.096902,0.100608,0.742226
0.160194,0.913749,0.10488,0.100661,0.741648
0.160734,0.913634,0.106268,0.100712,0.741085
0.161273,0.913518,0.103089,0.10076,0.740545
0.161812,0.913402,0.101968,0.100805,0.740032
0.162352,0.913287,0.103531,0.100844,0.739555
0.162891,0.91317,0.101464,0.100878,0.739121
0.16343,0.913053,0.101334,0.100904,0.738736
0.16397,0.912936,0.099875,0.100923,0.738409
0.164509,0.912819,0.102859,0.100933,0.738147
0.165049,0.912701,0.102075,0.100933,0.737957
0.165588,0.912583,0.099543,0.100922,0.737847
0.166127,0.912464,0.0976,0.100899,0.737823
0.166667,0.912345,0.099159,0.100863,0.737894
0.167206,0.912226,0.094645,0.100813,0.738067
0.167745,0.912107,0.092777,0.100748,0.73835
0.168285,0.911987,0.102355,0.100667,0.73875
0.168824,0.911867,0.109395,0.100569,0.739276
0.169364,0.911747,0.101124,0.100454,0.739923
0.169903,0.911626,0.098035,0.100327,0.740666
0.170442,0.911505,0.097537,0.100191,0.741475
0.170982,0.911384,0.105103,0.10005,0.74232
0.171521,0.911262,0.09905,0.099909,0.74317
0.17206,0.911139,0.10365,0.099772,0.743994
0.1726,0.911017,0.099383,0.099642,0.744763
0.173139,0.910894,0.097035,0.099524,0.745445
0.173679,0.910771,0.101171,0.099422,0.746008
0.174218,0.910648,0.102764,0.09934,0.746422
0.174757,0.910524,0.095738,0.099282,0.746654
0.175297,0.9104,0.100034,0.099252,0.746673
0.175836,0.910276,0.100382,0.099255,0.746448
0.176375,0.910151,0.100284,0.099294,0.745949
0.176915,0.910026,0.100572,0.099374,0.745148
0.177454,0.909901,0.098017,0.099492,0.744056
0.177994,0.909775,0.096603,0.099644,0.742718
0.178533,0.909649,0.095786,0.099823,0.74118
0.179072,0.909523,0.108665,0.100024,0.739487
0.179612,0.909397,0.102706,0.100241,0.737683
0.180151,0.90927,0.104098,0.100467,0.735813
0.18069,0.909142,0.098647,0.100698,0.733921
0.18123,0.909015,0.093938,0.100927,0.732049
0.181769,0.908887,0.096015,0.101149,0.730238
0.182309,0.908759,0.094523,0.101358,0.728529
0.182848,0.90863,0.100541,0.101547,0.726964
0.183387,0.908501,0.102763,0.101712,0.725581
0.183927,0.908372,0.105199,0.101846,0.72442
0.184466,0.908243,0.107437,0.101944,0.72352
0.185005,0.908113,0.103265,0.101999,0.722918
0.185545,0.907983,0.099886,0.102013,0.722611
0.186084,0.907852,0.099478,0.101989,0.722577
0.186624,0.907721,0.101781,0.101929,0.722795
0.187163,0.90759,0.102345,0.101836,0.723242
0.187702,0.907459,0.104282,0.101715,0.723897
0.188242,0.907327,0.108735,0.101567,0.724738
0.188781,0.907195,0.100319,0.101397,0.725744
0.18932,0.907063,0.102268,0.101207,0.726895
0.18986,0.90693,0.098168,0.101,0.728168
0.190399,0.906797,0.09902,0.10078,0.729543
0.190939,0.906664,0.102984,0.10055,0.730998
0.191478,0.90653,0.099439,0.100313,0.732509
0.192017,0.906396,0.098369,0.100072,0.734056
0.192557,0.906262,0.097175,0.099831,0.735615
0.193096,0.906127,0.106817,0.099591,0.737163
0.193635,0.905993,0.099335,0.099358,0.738677
0.194175,0.905857,0.098178,0.099133,0.740134
0.194714,0.905722,0.094528,0.098919,0.74151
0.195254,0.905586,0.101863,0.09872,0.742781
0.195793,0.90545,0.093216,0.098539,0.743925
0.196332,0.905313,0.09445,0.098378,0.744915
0.196872,0.905177,0.100085,0.098241,0.74573
0.197411,0.905039,0.100494,0.09813,0.746343
0.19795,0.904902,0.103055,0.09805,0.746731
0.19849,0.904764,0.095117,0.098002,0.746869
0.199029,0.904627,0.093006,0.097989,0.746736
0.199568,0.904488,0.098235,0.098016,0.746306
0.200108,0.90435,0.097443,0.098084,0.745559
0.200647,0.904211,0.099984,0.098197,0.744473
0.201187,0.904071,0.1006,0.098357,0.743028
0.201726,0.903932,0.102047,0.098565,0.741237
0.202265,0.903792,0.101171,0.098811,0.739156
0.202805,0.903652,0.097505,0.09909,0.736849
0.203344,0.903511,0.098311,0.099393,0.734373
0.203883,0.903371,0.097948,0.099713,0.73179
0.204423,0.903229,0.106969,0.100042,0.729155
0.204962,0.903088,0.098065,0.100373,0.726527
0.205502,0.902946,0.097139,0.100697,0.723958
0.206041,0.902804,0.100381,0.101008,0.721503
0.20658,0.902662,0.10001,0.101298,0.719214
0.20712,0.90252,0.101877,0.101558,0.71714
0.207659,0.902377,0.099562,0.101783,0.715333
0.208198,0.902233,0.098269,0.101963,0.713841
0.208738,0.90209,0.100763,0.102092,0.712714
0.209277,0.901946,0.104967,0.102161,0.712002
0.209817,0.901802,0.107067,0.102166,0.711745
0.210356,0.901657,0.100984,0.102109,0.711914
0.210895,0.901513,0.105584,0.101998,0.712454
0.211435,0.901368,0.098655,0.101843,0.71331
0.211974,0.901222,0.101697,0.101651,0.714427
0.212513,0.901077,0.104131,0.10143,0.715751
0.213053,0.900931,0.104403,0.101189,0.717227
0.213592,0.900784,0.106951,0.100935,0.718798
0.214132,0.900638,0.092349,0.100677,0.720408
0.214671,0.900491,0.096289,0.100422,0.722
0.21521,0.900344,0.100207,0.100179,0.723514
0.21575,0.900197,0.099593,0.099956,0.72489
0.216289,0.900049,0.098016,0.099761,0.726067
0.216828,0.899901,0.100728,0.099603,0.726985
0.217368,0.899753,0.097791,0.099488,0.727581
0.217907,0.899604,0.10279,0.099426,0.727793
0.218447,0.899455,0.098468,0.099422,0.727588
0.218986,0.899306,0.100915,0.099468,0.727005
0.219525,0.899156,0.100274,0.099559,0.7261
0.220065,0.899006,0.097943,0.099687,0.724929
0.220604,0.898856,0.09536,0.099843,0.72355
0.221143,0.898706,0.103376,0.100022,0.722018
0.221683,0.898555,0.099803,0.100214,0.720388
0.222222,0.898404,0.105656,0.100414,0.718715
0.222762,0.898253,0.101787,0.100613,0.717053
0.223301,0.898102,0.101592,0.100804,0.715454
0.22384,0.89795,0.100352,0.100979,0.713972
0.22438,0.897797,0.096668,0.101131,0.712656
0.224919,0.897645,0.102511,0.101252,0.711558
0.225458,0.897492,0.100957,0.101336,0.710729
0.225998,0.897339,0.102969,0.101374,0.710219
0.226537,0.897186,0.099892,0.10136,0.710078
0.227077,0.897032,0.103008,0.101288,0.710338
0.227616,0.896878,0.09737,0.101164,0.710962
0.228155,0.896724,0.098341,0.100995,0.711908
0.228695,0.89657,0.101427,0.100787,0.713132
0.229234,0.896415,0.097853,0.100547,0.714589
0.229773,0.89626,0.104978,0.100281,0.716235
0.230313,0.896104,0.102324,0.099997,0.718024
0.230852,0.895949,0.097659,0.0997,0.719912
0.231392,0.895793,0.094297,0.099397,0.721853
0.231931,0.895637,0.104347,0.099095,0.723797
0.23247,0.89548,0.102946,0.098801,0.725697
0.23301,0.895323,0.0988,0.098522,0.727503
0.233549,0.895166,0.098213,0.098263,0.729163
0.234088,0.895009,0.100527,0.098031,0.730627
0.234628,0.894851,0.093525,0.097834,0.731843
0.235167,0.894693,0.096046,0.097678,0.732756
0.235707,0.894535,0.092637,0.097567,0.733325
0.236246,0.894376,0.099073,0.097502,0.733557
0.236785,0.894218,0.100708,0.097478,0.733477
0.237325,0.894059,0.100982,0.097492,0.733112
0.237864,0.893899,0.097665,0.09754,0.732489
0.238403,0.89374,0.098256,0.097619,0.731637
0.238943,0.89358,0.095636,0.097725,0.730583
0.239482,0.89342,0.101022,0.097854,0.729356
0.240022,0.893259,0.095168,0.098003,0.727983
0.240561,0.893098,0.09588,0.098169,0.726493
0.2411,0.892937,0.096859,0.098347,0.724913
0.24164,0.892776,0.097967,0.098535,0.723271
0.242179,0.892614,0.09726,0.098728,0.721593
0.242718,0.892452,0.10205,0.098924,0.719907
0.243258,0.89229,0.098095,0.099118,0.718237
0.243797,0.892128,0.09839,0.099307,0.716609
0.244337,0.891965,0.09573,0.099487,0.71505
0.244876,0.891802,0.098321,0.099657,0.713572
0.245415,0.891639,0.101895,0.099815,0.712175
0.245955,0.891475,0.106728,0.099964,0.710859
0.246494,0.891311,0.097226,0.100101,0.709623
0.247033,0.891147,0.099749,0.100228,0.708465
0.247573,0.890983,0.106837,0.100343,0.707386
0.248112,0.890818,0.099515,0.100449,0.706385
0.248652,0.890653,0.097073,0.100543,0.70546
0.249191,0.890488,0.099831,0.100626,0.704613
0.24973,0.890322,0.10265,0.100699,0.703842
0.25027,0.890156,0.102898,0.100761,0.703146
0.250809,0.88999,0.100534,0.100813,0.702526
0.251348,0.889824,0.100123,0.100853,0.701982
0.251888,0.889657,0.098488,0.100883,0.701512
0.252427,0.88949,0.102614,0.100902,0.701117
